category_code,category_name_en,group_code,group_name_en,type_code,type_name_en,component_code,component_name_en,unit,result_type,sex,age_from_days,age_to_days,age_from_value,age_to_value,age_unit,low_normal,high_normal,normal_range_text,range_note,status
CHEM,Clinical Chemistry,ELEC,Electrolytes,MGS,"Magnesium, Serum",MGS,"Magnesium, Serum",mg/dL,NUMERIC,B,6205,36500,17,,year,1.7,2.3,1.7-2.3 mg/dL,,OK
CHEM,Clinical Chemistry,RENAL,Renal Function,URIC,"Uric Acid, Serum",URIC,"Uric Acid, Serum",mg/dL,NUMERIC,M,365,3650,1,10,year,2.4,5.4,2.4-5.4 mg/dL,,OK
CHEM,Clinical Chemistry,RENAL,Renal Function,URIC,"Uric Acid, Serum",URIC,"Uric Acid, Serum",mg/dL,NUMERIC,M,5840,36500,16,,year,3.7,8.0,3.7-8.0 mg/dL,,OK
CHEM,Clinical Chemistry,RENAL,Renal Function,URIC,"Uric Acid, Serum",URIC,"Uric Acid, Serum",mg/dL,NUMERIC,F,2555,2920,7,8,year,2.3,5.5,2.3-5.5 mg/dL,,OK
CHEM,Clinical Chemistry,RENAL,Renal Function,URIC,"Uric Acid, Serum",URIC,"Uric Acid, Serum",mg/dL,NUMERIC,F,3285,3650,9,10,year,2.3,5.7,2.3-5.7 mg/dL,,OK
CHEM,Clinical Chemistry,RENAL,Renal Function,URIC,"Uric Acid, Serum",URIC,"Uric Acid, Serum",mg/dL,NUMERIC,F,4745,36500,13,,year,2.7,6.1,2.7-6.1 mg/dL,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,ALT,"Alanine Aminotransferase (ALT) (GPT), Serum",ALT,"Alanine Aminotransferase (ALT) (GPT), Serum",U/L,NUMERIC,M,365,36500,1,,year,7.0,55.0,7-55 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,ALT,"Alanine Aminotransferase (ALT) (GPT), Serum",ALT,"Alanine Aminotransferase (ALT) (GPT), Serum",U/L,NUMERIC,F,365,36500,1,,year,7.0,45.0,7-45 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",AST,"Aspartate Aminotransferase (AST) (GOT), Serum",,NUMERIC,M,0,330,0,11,month,,,not established,Not established (per Mayo),OK
CHEM,Clinical Chemistry,LIVER,Liver Function,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",AST,"Aspartate Aminotransferase (AST) (GOT), Serum",U/L,NUMERIC,M,365,4745,1,13,year,8.0,60.0,8-60 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",AST,"Aspartate Aminotransferase (AST) (GOT), Serum",U/L,NUMERIC,M,5110,36500,14,,year,8.0,48.0,8-48 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",AST,"Aspartate Aminotransferase (AST) (GOT), Serum",,NUMERIC,F,0,330,0,11,month,,,not established,Not established (per Mayo),OK
CHEM,Clinical Chemistry,LIVER,Liver Function,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",AST,"Aspartate Aminotransferase (AST) (GOT), Serum",U/L,NUMERIC,F,365,4745,1,13,year,8.0,50.0,8-50 U/L,,OK
CHEM,Clinical Chemistry,LIVER,Liver Function,AST,"Aspartate Aminotransferase (AST) (GOT), Serum",AST,"Aspartate Aminotransferase (AST) (GOT), Serum",U/L,NUMERIC,F,5110,36500,14,,year,8.0,43.0,8-43 U/L,,OK
